relType,sources,targets,properties
ABSTRACTCOLLECTION_HAS_ABSTRACT,[AbstractCollection],[Abstract],[]
ABSTRACT_HAS_CITATION,[Abstract],[Citation],[]
AFFILIATION_HAS_LOCATION,[Affiliation],[Location],[]
AUTHORCOLLECTION_HAS_AUTHOR,[AuthorCollection],[Author],[]
AUTHOR_HAS_AFFILIATION,[Author],[Affiliation],[]
BODYTEXTCOLLECTION_HAS_BODYTEXT,[BodyTextCollection],[BodyText],[]
BODYTEXT_HAS_CITATION,[BodyText],[Citation],[]
PAPER_HAS_ABSTRACTCOLLECTION,[Paper],[AbstractCollection],[]
PAPER_HAS_AUTHORCOLLECTION,[Paper],[AuthorCollection],[]
PAPER_HAS_BODYTEXTCOLLECTION,[Paper],[BodyTextCollection],[]
PAPER_HAS_JOURNAL,[Paper],[Journal],[]
PAPER_HAS_LICENSE,[Paper],[License],[]
PAPER_HAS_PAPERID,[Paper],[PaperID],[]
PAPER_HAS_REFERENCECOLLECTION,[Paper],[ReferenceCollection],[]
PAPER_HAS_SOURCE,[Paper],[Source],[]
REFERENCECOLLECTION_HAS_REFERENCE,[ReferenceCollection],[Reference],[]
