relType,sources,targets,properties
associates,[Disease:HetionetNode],[Gene:HetionetNode],"[unbiased, sources, license]"
binds,[Compound:HetionetNode],[Gene:HetionetNode],"[license, unbiased, sources, pubmed_ids, actions, urls, affinity_nM]"
causes,[Compound:HetionetNode],[HetionetNode:Side Effect],"[source, url, unbiased, license]"
covaries,[Gene:HetionetNode],[Gene:HetionetNode],"[unbiased, source]"
downregulates,"[Anatomy:HetionetNode, Compound:HetionetNode, Disease:HetionetNode]",[Gene:HetionetNode],"[unbiased, source, z_score, method, log2_fold_change, license]"
expresses,[Anatomy:HetionetNode],[Gene:HetionetNode],"[unbiased, sources, license]"
includes,[HetionetNode:Pharmacologic Class],[Compound:HetionetNode],"[source, unbiased, license]"
interacts,[Gene:HetionetNode],[Gene:HetionetNode],"[unbiased, sources]"
localizes,[Disease:HetionetNode],[Anatomy:HetionetNode],"[source, unbiased, license]"
palliates,[Compound:HetionetNode],[Disease:HetionetNode],"[source, unbiased, license]"
participates,[Gene:HetionetNode],"[Biological Process:HetionetNode, HetionetNode:Pathway, HetionetNode:Molecular Function, Cellular Component:HetionetNode]","[source, unbiased, license, url]"
presents,[Disease:HetionetNode],[HetionetNode:Symptom],"[source, unbiased, license]"
regulates,[Gene:HetionetNode],[Gene:HetionetNode],"[source, unbiased, method, subtypes]"
resembles,"[Compound:HetionetNode, Disease:HetionetNode]","[Compound:HetionetNode, Disease:HetionetNode]","[source, similarity, unbiased, license]"
treats,[Compound:HetionetNode],[Disease:HetionetNode],"[source, unbiased, license]"
upregulates,"[Anatomy:HetionetNode, Compound:HetionetNode, Disease:HetionetNode]",[Gene:HetionetNode],"[unbiased, source, z_score, method, log2_fold_change, license]"
