relType,sources,targets,properties
CONTAINER_OF,[Forum],[Post],[]
HAS_CREATOR,"[Post, Person]","[Person, Comment]",[]
HAS_INTEREST,[Person],[Tag],[]
HAS_MEMBER,[Forum],[Person],[joinDate]
HAS_MODERATOR,[Forum],[Person],[]
HAS_TAG,"[Post, Forum]",[Tag],[]
HAS_TYPE,[Tag],[TagClass],[]
IS_LOCATED_IN,"[Organisation, Post, Person]",[Place],[]
IS_PART_OF,[Place],[Place],[]
IS_SUBCLASS_OF,[TagClass],[TagClass],[]
KNOWS,[Person],[Person],[creationDate]
LIKES,[Person],"[Comment, Post]",[creationDate]
REPLY_OF,[Comment],"[Post, Comment]",[]
STUDIES_AT,[Person],[Organisation],[classYear]
WORKS_AT,[Person],[Organisation],[workFrom]
