relType,sources,targets,properties
CALLED,[PhoneCall],[Phone],[]
CALLER,[PhoneCall],[Phone],[]
CURRENT_ADDRESS,[Person],[Location],[]
FAMILY_REL,[Person],[Person],[rel_type]
HAS_EMAIL,[Person],[Email],[]
HAS_PHONE,[Person],[Phone],[]
HAS_POSTCODE,[Location],[PostCode],[]
INVESTIGATED_BY,[Crime],[Officer],[]
INVOLVED_IN,"[Object, Vehicle]",[Crime],[]
KNOWS,[Person],[Person],[]
KNOWS_LW,[Person],[Person],[]
KNOWS_PHONE,[Person],[Person],[]
LOCATION_IN_AREA,[Location],[AREA],[]
OCCURRED_AT,[Crime],[Location],[]
PARTY_TO,[Person],[Crime],[]
POSTCODE_IN_AREA,[PostCode],[AREA],[]
