nodeType,propSet,count
Reference,name:refId:title:venue:year,2071878
Citation,citId,701835
PaperID,paperRefId:type:value,388973
Reference,refId:title:venue:year,320359
BodyText,bodyId:section:text,248970
Author,authorId:first:last,205690
Citation,citId:text,179056
AbstractCollection,absCollId,128492
AuthorCollection,acId,128492
BodyTextCollection,bodyCollId,128492
ReferenceCollection,refCollId,128492
Reference,refId,101046
Reference,name:refId:venue:year,81675
Author,authorId:first:last:middle,79900
Reference,name:refId:title:year,60632
Author,authorId:email:first:last,44862
Reference,refId:venue:year,40670
Affiliation,affId:institution,39850
Paper,cord_uid:doi:journal:paperId:publish_time:pubmed_id:source_x:title,34809
BodyText,bodyId:text,33805
Paper,cord_uid:doi:journal:paperId:pmcid:publish_time:pubmed_id:source_x:title:url,30706
Reference,refId:title,27951
Reference,name:refId:title,25992
Reference,name:refId:title:venue,23290
Reference,name:refId:year,22395
Author,authorId:email:first:last:middle,18496
Reference,refId:title:year,17268
Paper,cord_uid:journal:paperId:publish_time:pubmed_id:source_x:title,16908
Paper,cord_uid:doi:journal:paperId:pmcid:publish_time:pubmed_id:source_x:title,15850
Journal,journalId:name,15157
Paper,cord_uid:doi:journal:paperId:pmcid:publish_time:source_x:title:url,12608
Location,country:locId:settlement,12461
Location,country:locId:postcode:settlement,11707
Reference,refId:title:venue,10527
Abstract,abstractId:text,9878
Paper,cord_uid:journal:paperId:publish_time:source_x:title,8524
Reference,refId:year,7132
Affiliation,affId:institution:laboratory,7061
Location,country:locId:postcode:region:settlement,4181
Location,country:locId:region:settlement,3949
Reference,refId:venue,3264
Location,country:locId,3219
Author,authorId:first:middle,2067
Location,locId:settlement,2053
Location,locId:postcode:region:settlement,2051
Paper,cord_uid:doi:paperId:publish_time:source_x:title:url,2012
Affiliation,affId:laboratory,2002
Author,authorId:first,1947
Author,authorId:last,1874
Location,locId:region:settlement,1863
Paper,cord_uid:doi:paperId:publish_time:source_x:title,1284
Paper,cord_uid:paperId:publish_time:source_x:title:url,1273
Reference,name:refId,1098
Paper,cord_uid:doi:journal:paperId:publish_time:source_x:title,1091
Location,locId:postcode:settlement,887
Paper,cord_uid:doi:journal:paperId:publish_time:source_x:title:url,847
Paper,cord_uid:doi:paperId:pmcid:publish_time:source_x:title:url,841
Paper,cord_uid:paperId:publish_time:source_x:title,661
Reference,name:refId:venue,585
Location,country:locId:region,569
Location,country:locId:postcode:region,471
Location,locId:postcode:region,367
Paper,cord_uid:journal:paperId:pmcid:publish_time:pubmed_id:source_x:title:url,342
Author,authorId:first:last:middle:suffix,325
Location,country:locId:postcode,322
Paper,cord_uid:doi:journal:paperId:publish_time:pubmed_id:source_x:title:url,264
BodyText,bodyId:section,261
Location,locId:region,227
Author,authorId:last:middle,210
Location,locId:postcode,177
Paper,cord_uid:doi:journal:paperId:pmcid:publish_time:source_x:title,153
Paper,cord_uid:paperId:pmcid:publish_time:pubmed_id:source_x:title:url,128
Author,authorId:first:last:suffix,101
Paper,cord_uid:doi:paperId:pmcid:publish_time:pubmed_id:source_x:title:url,89
Author,authorId:email:first:last:middle:suffix,80
Paper,cord_uid:journal:paperId:pmcid:publish_time:source_x:title:url,48
Author,authorId:email:first:last:suffix,41
Source,name:sourceId,33
Paper,cord_uid:doi:journal:paperId:publish_time:pubmed_id:source_x,28
Author,authorId:email:last,25
Author,authorId:middle,21
License,licenseId:name,17
Author,authorId:email:first,16
Author,authorId:email:first:middle,15
Paper,cord_uid:journal:paperId:source_x:title,8
Paper,cord_uid:paperId:pmcid:publish_time:source_x:title:url,6
Paper,cord_uid:journal:paperId:publish_time:source_x:title:url,5
Paper,cord_uid:doi:journal:paperId:source_x:title:url,4
Paper,cord_uid:paperId:source_x:title,3
Author,authorId:email:last:middle,2
