nodeType,propSet,count
Officer,countries:country_codes:lastEditTimestamp:name:node_id:sourceID:valid_until,320049
Entity,address:countries:country_codes:ibcRUC:inactivation_date:incorporation_date:internal_id:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:original_name:service_provider:sourceID:status:struck_off_date:valid_until,206393
Officer,lastEditTimestamp:name:node_id:sourceID:valid_until,206083
Entity,former_name:ibcRUC:incorporation_date:internal_id:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:original_name:sourceID:struck_off_date:valid_until,175887
Officer,countries:country_codes:icij_id:lastEditTimestamp:name:node_id:sourceID:valid_until,144722
Address,address:addressID:country:country_code:lastEditTimestamp:name:node_id:sourceID:valid_until,123088
Officer,icij_id:lastEditTimestamp:name:node_id:sourceID:valid_until,93625
Address,address:countries:country_codes:icij_id:lastEditTimestamp:node_id:sourceID:valid_until,92507
Address,address:countries:country_codes:lastEditTimestamp:node_id:sourceID:valid_until,83691
Address,address:countries:country_codes:lastEditTimestamp:name:node_id:sourceID:valid_until,79483
Entity,address:company_type:countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:status:tax_stat_description:valid_until,63160
Entity,countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:valid_until,57482
Entity,company_number:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:struck_off_date:type:valid_until,50611
Entity,company_number:countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:type:valid_until,35161
Entity,countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:status:valid_until,26034
Entity,closed_date:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:type:valid_until,20284
Entity,address:company_type:countries:country_codes:dorm_date:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:status:tax_stat_description:valid_until,19814
Address,countries:country_codes:lastEditTimestamp:name:node_id:sourceID:valid_until,19722
Entity,incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:type:valid_until,18636
Entity,company_number:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:type:valid_until,15858
Entity,company_type:countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:status:valid_until,15573
Intermediary,address:countries:country_codes:internal_id:lastEditTimestamp:name:node_id:sourceID:status:valid_until,12595
Entity,company_type:countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:struck_off_date:valid_until,11870
Entity,closed_date:countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:type:valid_until,11371
Entity,company_type:countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:status:tax_stat_description:valid_until,10581
Entity,countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:type:valid_until,9882
Intermediary,countries:country_codes:lastEditTimestamp:name:node_id:sourceID:valid_until,8873
Entity,company_type:countries:country_codes:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:service_provider:sourceID:tax_stat_description:valid_until,8613
Entity,incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:struck_off_date:type:valid_until,8576
