relType,sourceLabelCombo,targetLabelCombo,propSet,count
INVESTIGATED_BY,Crime,Officer,,28762
OCCURRED_AT,Crime,Location,,28762
HAS_POSTCODE,Location,PostCode,,14904
LOCATION_IN_AREA,Location,AREA,,14904
POSTCODE_IN_AREA,PostCode,AREA,,14196
INVOLVED_IN,Vehicle,Crime,,978
KNOWS,Person,Person,,586
CALLED,PhoneCall,Phone,,534
CALLER,PhoneCall,Phone,,534
CURRENT_ADDRESS,Person,Location,,368
HAS_EMAIL,Person,Email,,328
HAS_PHONE,Person,Phone,,328
FAMILY_REL,Person,Person,rel_type,155
KNOWS_PHONE,Person,Person,,118
KNOWS_LW,Person,Person,,80
PARTY_TO,Person,Crime,,55
INVOLVED_IN,Object,Crime,,7
