nodeType,propSet,count
Crime,date:id:last_outcome:source_id:type,28750
Location,address:id:latitude:longitude:postcode,14904
PostCode,code:id,14196
Officer,badge_no:id:name:rank:surname,1000
Vehicle,id:make:model:reg:year,1000
PhoneCall,call_date:call_duration:call_time:call_type:id,534
Person,id:name:nhs_no:surname,367
Email,email_address:id,328
Phone,id:phoneNo,328
AREA,areaCode:id,93
Crime,charge:date:id:last_outcome:source_id:type,10
Object,description:id:type,5
Object,description:id:source_id:type,2
Crime,charge:date:id:last_outcome:note:source_id:type,1
Crime,date:id:last_outcome:source_id,1
Person,age:id:name:nhs_no:surname,1
Person,id:name:surname,1
