relType,sourceLabelCombo,targetLabelCombo,propSet,count
REFERENCECOLLECTION_HAS_REFERENCE,ReferenceCollection,Reference,,2815762
BODYTEXT_HAS_CITATION,BodyText,Citation,,878733
PAPER_HAS_PAPERID,Paper,PaperID,,388973
AUTHORCOLLECTION_HAS_AUTHOR,AuthorCollection,Author,,355672
BODYTEXTCOLLECTION_HAS_BODYTEXT,BodyTextCollection,BodyText,,283036
PAPER_HAS_ABSTRACTCOLLECTION,Paper,AbstractCollection,,128492
PAPER_HAS_AUTHORCOLLECTION,Paper,AuthorCollection,,128492
PAPER_HAS_BODYTEXTCOLLECTION,Paper,BodyTextCollection,,128492
PAPER_HAS_LICENSE,Paper,License,,128492
PAPER_HAS_REFERENCECOLLECTION,Paper,ReferenceCollection,,128492
PAPER_HAS_SOURCE,Paper,Source,,128492
PAPER_HAS_JOURNAL,Paper,Journal,,122195
AUTHOR_HAS_AFFILIATION,Author,Affiliation,,48913
AFFILIATION_HAS_LOCATION,Affiliation,Location,,44504
ABSTRACTCOLLECTION_HAS_ABSTRACT,AbstractCollection,Abstract,,9878
ABSTRACT_HAS_CITATION,Abstract,Citation,,2158
