relType,sourceLabelCombo,targetLabelCombo,propSet,count
officer_of,Officer,Entity,link:sourceID:valid_until,653180
intermediary_of,Intermediary,Entity,link:sourceID:valid_until,509943
registered_address,Officer,Address,link:sourceID:valid_until,440586
officer_of,Officer,Entity,end_date:link:sourceID:start_date:valid_until,376526
officer_of,Officer,Entity,link:sourceID:start_date:valid_until,272202
registered_address,Entity,Address,link:sourceID:valid_until,261620
officer_of,Officer,Entity,end_date:link:start_date,142893
officer_of,Officer,Entity,end_date:link:sourceID:start_date:status:valid_until,126936
intermediary_of,Intermediary,Entity,link,78818
registered_address,Entity,Address,link,62478
same_name_as,Officer,Officer,link,56505
similar,Officer,Officer,link,46387
officer_of,Officer,Entity,link:sourceID:start_date:status:valid_until,41252
officer_of,Intermediary:Officer,Entity,link:sourceID:valid_until,36539
registered_address,Officer,Address,link,25273
officer_of,Officer,Entity,link,24181
same_name_as,Officer,Officer,link:sourceID:valid_until,21887
officer_of,Officer,Entity,lastEditTimestamp:link,19771
same_name_as,Officer,Officer,lastEditTimestamp:link,19378
registered_address,Officer,Address,lastEditTimestamp:link,17881
same_company_as,Entity,Entity,link:sourceID:valid_until,15523
connected_to,Other,Entity,link:sourceID:valid_until,10822
registered_address,Intermediary,Address,link:sourceID:valid_until,9157
intermediary_of,Intermediary:Officer,Entity,link:sourceID:valid_until,8450
registered_address,Entity,Address,lastEditTimestamp:link,7525
officer_of,Intermediary:Officer,Entity,link:sourceID:start_date:valid_until,6548
registered_address,Entity,Address,link:sourceID,5310
officer_of,Officer,Entity,lastEditTimestamp:link:start_date,5026
officer_of,Officer,Entity,link:start_date,3635
officer_of,Intermediary,Entity,link:sourceID:start_date:status:valid_until,3523
same_as,Entity,Entity,link,3146
same_id_as,Officer,Officer,link:sourceID:valid_until,3120
same_name_as,Entity,Entity,link:sourceID:valid_until,2208
officer_of,Intermediary,Entity,link:sourceID:valid_until,2095
same_name_as,Entity,Entity,lastEditTimestamp:link,1912
