relType,sourceLabelCombo,targetLabelCombo,count
HAS_CREATOR,Person,Comment,2052169
HAS_MEMBER,Forum,Person,1611869
LIKES,Person,Comment,1438418
REPLY_OF,Comment,Comment,1040749
REPLY_OF,Comment,Post,1011420
CONTAINER_OF,Forum,Post,1003605
HAS_CREATOR,Post,Person,1003605
IS_LOCATED_IN,Post,Place,1003605
LIKES,Person,Post,751677
HAS_TAG,Post,Tag,713258
HAS_TAG,Forum,Tag,309766
HAS_INTEREST,Person,Tag,229166
KNOWS,Person,Person,180623
HAS_MODERATOR,Forum,Person,90492
WORKS_AT,Person,Organisation,21654
HAS_TYPE,Tag,TagClass,16080
IS_LOCATED_IN,Person,Place,9892
IS_LOCATED_IN,Organisation,Place,7955
STUDIES_AT,Person,Organisation,7949
IS_PART_OF,Place,Place,1454
IS_SUBCLASS_OF,TagClass,TagClass,70
