nodeType,propSet,count
SynapseSet:mushroombody_SynapseSet,,160516
Synapse:mushroombody_Synapse,alpha3:confidence:location:type,121319
Synapse:mushroombody_Synapse,alpha1:confidence:location:type,120870
Synapse:mushroombody_Synapse,alpha2:confidence:location:type,71933
Synapse:mushroombody_Synapse,confidence:location:type,3864
Neuron:Segment:mushroombody_Segment,alpha1:bodyId:post:pre:roiInfo:size,2519
Neuron:Segment:mushroombody_Segment,alpha3:bodyId:post:pre:roiInfo:size,1941
Neuron:Segment:mushroombody_Segment,alpha2:bodyId:post:pre:roiInfo:size,1288
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha1:alpha2:alpha3:bodyId:instance:post:pre:roiInfo:size:status:statusLabel:type,946
Neuron:Segment:mushroombody_Segment,bodyId:post:pre:roiInfo:size,310
Neuron:Segment:mushroombody_Segment,alpha3:bodyId:instance:post:pre:roiInfo:size:status:statusLabel,242
Neuron:Segment:mushroombody_Segment,alpha2:bodyId:instance:post:pre:roiInfo:size:status:statusLabel,163
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha3:bodyId:instance:post:pre:roiInfo:size:status:statusLabel,67
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha2:alpha3:bodyId:instance:post:pre:roiInfo:size:status:statusLabel,35
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha3:bodyId:post:pre:roiInfo:size:status:statusLabel,34
Neuron:Segment:mushroombody_Segment,bodyId:instance:post:pre:roiInfo:size:status:statusLabel,25
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha1:bodyId:post:pre:roiInfo:size:status:statusLabel,20
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha2:bodyId:instance:post:pre:roiInfo:size:status:statusLabel,17
Neuron:Segment:mushroombody_Segment,alpha1:bodyId:instance:post:pre:roiInfo:size:status:statusLabel,14
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,bodyId:instance:post:pre:roiInfo:size:status:statusLabel,13
Neuron:Segment:mushroombody_Segment,alpha2:bodyId:cropped:instance:post:pre:roiInfo:size:status:statusLabel,10
Neuron:Segment:mushroombody_Segment,alpha3:bodyId:post:pre:roiInfo:size:status:statusLabel,9
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha1:bodyId:instance:post:pre:roiInfo:size:status:statusLabel,8
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha1:bodyId:instance:post:pre:roiInfo:size:status:statusLabel:type,8
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha2:alpha3:bodyId:instance:post:pre:roiInfo:size:status:statusLabel:type,8
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,bodyId:post:pre:roiInfo:size:status:statusLabel,8
Neuron:Segment:mushroombody_Segment,alpha3:bodyId:cropped:instance:post:pre:roiInfo:size:status:statusLabel,8
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha1:alpha2:alpha3:bodyId:instance:post:pre:roiInfo:size:status:statusLabel,7
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha1:alpha2:bodyId:instance:post:pre:roiInfo:size:status:statusLabel:type,7
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha2:bodyId:post:pre:roiInfo:size:status:statusLabel,7
Neuron:Segment:mushroombody_Segment,bodyId:cropped:instance:post:pre:roiInfo:size:status:statusLabel,6
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha1:alpha2:alpha3:bodyId:cropped:instance:post:pre:roiInfo:size:status:statusLabel:type,5
Neuron:Segment:mushroombody_Segment,alpha2:alpha3:bodyId:instance:post:pre:roiInfo:size:status:statusLabel,5
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha2:alpha3:bodyId:cropped:instance:post:pre:roiInfo:size:status:statusLabel:type,4
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha1:alpha2:bodyId:instance:post:pre:roiInfo:size:status:statusLabel,3
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha2:alpha3:bodyId:cropped:instance:post:pre:roiInfo:size:status:statusLabel,3
Neuron:Segment:mushroombody_Segment,alpha1:alpha2:bodyId:instance:post:pre:roiInfo:size:status:statusLabel,3
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha1:alpha2:bodyId:cropped:instance:post:pre:roiInfo:size:status:statusLabel:type,2
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha1:bodyId:cropped:instance:post:pre:roiInfo:size:status:statusLabel,2
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha3:bodyId:cropped:instance:post:pre:roiInfo:size:status:statusLabel,2
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,bodyId:cropped:post:pre:roiInfo:size:status:statusLabel,2
Neuron:Segment:mushroombody_Segment,alpha1:bodyId:cropped:instance:post:pre:roiInfo:size:status:statusLabel,2
Neuron:Segment:mushroombody_Segment,alpha1:bodyId:instance:post:pre:roiInfo:size:status:statusLabel:type,2
Neuron:Segment:mushroombody_Segment,alpha2:bodyId:post:pre:roiInfo:size:status:statusLabel,2
Meta:medulla7column_Meta,dataset:lastDatabaseEdit:latestMutationId:logo:meshHost:neuroglancerInfo:neuroglancerMeta:postHPThreshold:postHighAccuracyThreshold:preHPThreshold:primaryRois:roiHierarchy:roiInfo:statusDefinitions:superLevelRois:totalPostCount:totalPreCount:uuid,1
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha1:alpha2:bodyId:cropped:instance:post:pre:roiInfo:size:status:statusLabel,1
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha1:alpha3:bodyId:instance:post:pre:roiInfo:size:status:statusLabel,1
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha2:bodyId:cropped:instance:post:pre:roiInfo:size:status:statusLabel,1
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha2:bodyId:cropped:instance:post:pre:roiInfo:size:status:statusLabel:type,1
Neuron:Segment:mushroombody_Neuron:mushroombody_Segment,alpha3:bodyId:cropped:instance:post:pre:roiInfo:size:status:statusLabel:type,1
Neuron:Segment:mushroombody_Segment,alpha3:bodyId:cropped:post:pre:roiInfo:size:status:statusLabel,1
Neuron:Segment:mushroombody_Segment,bodyId:post:pre:roiInfo:size:status:statusLabel,1
